chain,draw,interception,Treatment,HER2,HER2_interaction
0,0,-1.6888690634462369,0.7595646009845058,1.0256538451387767,0.21458914012061164
0,1,-1.5989815899036803,0.9708605837657134,0.6128717881004528,0.1391046454594618
0,2,-1.7516694477676333,0.9040950129400431,0.39704415467010934,-0.14988701267385343
0,3,-1.6864303530104192,1.0445693046790636,0.7813640610583248,0.29955851542647405
0,4,-1.2035614343932641,0.4774023847852258,-0.2293733584975528,0.5597063795226009
0,5,-1.1848244213935475,0.3894468852566213,0.25269595044965065,0.8391463823181589
0,6,-1.5638926872813919,0.8135751423580226,0.08382356634150079,1.1284664726051985
0,7,-1.5340571337091389,0.6496237238844957,0.5847788763133386,0.05512186844833303
0,8,-1.5476993702752149,0.6452849668995242,0.8448863876663706,0.4684091451544593
0,9,-1.1802695535536332,0.4018567480370234,0.03242614067681826,0.35229393181770374
0,10,-1.2984670529508642,0.8039163285464705,0.10855183318721173,0.5708017999566358
0,11,-1.5200442935955611,0.5828495367428863,0.31659852855811876,0.5161321573018031
0,12,-1.623451843254131,0.6248607042572729,-0.20736881049563594,1.2690686700615121
0,13,-1.5824007299997511,0.7825564428139378,-0.3172747689647606,1.3006603503619965
0,14,-1.7016583192090886,0.3769652506990755,0.5817349168924046,0.7313015728043704
0,15,-1.6241301711937892,0.5330252759459952,0.6726507706708635,0.9785766820422162
0,16,-1.7207661128655891,0.31323466138804235,0.5232435577030476,0.9233754824563416
0,17,-1.7219893974024478,0.4600448456867954,0.9778093406082731,0.3301408145291672
0,18,-1.4602504033615027,0.4597345041656611,0.013553816951470177,1.107790296914379
0,19,-1.5607354620773743,0.567998866928441,0.6335034119018612,-0.09227361472316753
0,20,-1.609118665483575,0.7572152723443852,0.40364570846798564,0.3315862004448803
0,21,-1.5044050557418644,0.945353499227441,0.46751095028583456,0.31475309018165926
0,22,-1.6429639999698953,0.9229725325483094,0.3803376972784791,0.2598492249346699
0,23,-1.5255577874015498,0.914445846282725,0.11899038841451293,0.7448296918677209
0,24,-1.5255577874015498,0.914445846282725,0.11899038841451293,0.7448296918677209
0,25,-1.4087325390152916,0.6951378974452214,-0.9448749509255667,1.6979993509454587
0,26,-1.7512151783838092,0.7327609778771382,1.4930427030728222,-0.34317682898619317
0,27,-1.8089954084817697,0.6202290551061966,1.0903265436791523,-0.4319421173611708
0,28,-1.3496457475669348,0.6023606600885993,-0.4056825133073163,1.2000832373683958
0,29,-1.3345940334897646,0.40245719329730134,-0.36768788980471045,1.4512176700916488
0,30,-1.4472527881375759,0.34902546955128066,0.649340392428428,0.6178856798802586
0,31,-1.6148270042897108,0.3562495051339345,0.693091665417569,0.652152381136026
0,32,-1.5956420545413794,0.2685408763391115,0.6950875712347029,0.8938214491753951
0,33,-1.3894693757764416,0.912341654814286,0.1360942102099738,0.29218523719971506
0,34,-1.8607559336365358,0.7379896241401271,1.105336315919441,0.18759242012081115
0,35,-1.6891178137427707,0.9999934004639301,0.9506017632206396,-0.189304111840442
0,36,-1.591431900600532,0.4618433042315395,1.1533739151660891,-0.003750901012417096
0,37,-1.4831735991986408,0.6458134429020232,0.5140258038167003,0.02552844036334477
