chain,draw,interception,Treatment,HR,HER2,HR_interaction,HER2_interaction
0,0,-1.0566653369608088,0.4535140363828698,-0.6743157704788367,0.16917089919697958,-0.010823856282516892,0.5547249580315214
0,1,-1.1372793813046616,0.7005850336386852,-0.7417725826914316,0.47377073706254436,0.22636816695690062,0.14079037720750556
0,2,-1.1495752964830745,0.7846566049789683,-0.9735831850921419,0.40821766650623204,-0.1528808127324626,0.5603995335252526
0,3,-1.207908374205258,0.9181606072717585,-0.7892243084680315,0.3589101439205895,-0.20840237307753076,0.39644229020710986
0,4,-1.1820777043654038,0.6186398215710516,-0.5171269722803955,0.06233290906220823,-0.6471572566372948,1.3233129574777125
0,5,-1.2926946018446925,1.131375738089293,-0.7227587600820535,-0.2170018397990643,-0.7994799356947979,1.3522277616528702
0,6,-0.6757814937608764,0.49759701493081776,-0.7549071278933757,-0.4894384048338394,0.11026247256713861,0.839268263249783
0,7,-0.6757814937608764,0.49759701493081776,-0.7549071278933757,-0.4894384048338394,0.11026247256713861,0.839268263249783
0,8,-1.3189704675733478,0.8707539212268924,-0.5952493281845042,1.2198845992015952,-0.7529462514050465,-0.6146336185361668
0,9,-0.6081871814516384,0.20978798750221905,-1.0047501089103574,-0.33241004026765975,-0.48120416575654856,1.4644005281641688
0,10,-1.2796156263495768,0.14150488322117538,-0.750044511371879,0.14402903327585648,0.29839030082677737,1.5874411003043742
0,11,-1.129465889873606,0.3120277791110857,-0.6830080477846214,0.20276248444895328,-0.1914122654176458,1.3436203098230783
0,12,-1.364771783862028,0.9893726864198518,-0.7617055557344257,1.0727915218532649,0.056188189045326506,-0.23442904851273694
0,13,-1.364771783862028,0.9893726864198518,-0.7617055557344257,1.0727915218532649,0.056188189045326506,-0.23442904851273694
0,14,-1.4962673949399194,1.2328722156065415,-0.8185618349746784,1.1966810158382972,-0.5314340617621119,-0.2966516835287021
0,15,-1.0670278764841878,0.6782963542100529,-1.2366276098080902,-0.6835732657435409,-0.17881326188718977,1.8345452462027565
0,16,-1.0665900953186815,0.7177298676058255,-0.861552588558725,-0.02894220692250249,-0.3805713388448092,1.0078144653942225
0,17,-1.092099094489729,0.1733981803999196,-1.1073334749714983,0.5347810370564865,-0.1711978774584941,1.0488714832921078
0,18,-1.1509637286862646,0.609022807892263,-0.6443505079649063,0.3395317565060818,-0.06873326229479017,0.16602909055526766
0,19,-1.3824741547284396,0.4565619223104851,-0.6327782435562914,0.868306760917239,-0.23873571171621627,0.6760468443528092
0,20,-1.2144446883039064,0.8720191536762871,-0.5576421476121318,0.45231567828287056,-0.6755639185998736,0.5207578689292267
0,21,-1.3236165344028736,0.5322890943093059,-0.9283311890423147,0.3154168053469064,-0.3799362620561224,1.2016081111330577
0,22,-1.3024681628801706,0.36716298483259835,-0.4535888960805323,0.24356364481333848,0.018944082340261154,0.8021281078171836
0,23,-1.3296437575023814,0.8322903216506679,-0.6484683124000767,0.681255863040551,-0.7069279268950779,0.39180192024524974
0,24,-1.1838285948076392,1.2457735019627167,-0.9100157562728681,0.32788408338156416,-0.5151428060758946,0.4593014406313089
0,25,-0.8982160422190293,0.2839493436921714,-0.776524054731633,0.10083982589845086,-0.3578046111987243,1.2379099195018952
0,26,-1.3833452538169628,1.1629739940665296,-0.6896652589489309,0.05642804838172921,-0.3889342464020671,0.7505029686008526
0,27,-0.7094857236449856,-0.23524627265505904,-1.0114644202710643,0.44914112978407816,-0.025519500927188854,1.0370868846023036
0,28,-1.0716344382973562,0.8661191733598588,-0.7055494247438097,0.4828100589335844,-0.4529285929129241,0.47483482996638227
0,29,-1.0956961650394033,0.7667875420026269,-0.5496300601339745,-0.02672116201878305,-0.7345870988845942,0.8376706854165668
0,30,-1.4679614295739443,0.9304775471865214,-0.5223915639088399,0.8013964734370798,-0.25542862816856027,0.678433557150631
0,31,-1.0605924799829896,1.169592361425391,-0.5905367516484441,0.634250313167428,-0.3588066847261866,-0.08959119867136314
0,32,-1.0605924799829896,1.169592361425391,-0.5905367516484441,0.634250313167428,-0.3588066847261866,-0.08959119867136314
0,33,-1.3176110521901525,0.6641444262732055,-0.7556824433098837,0.6320226267696041,-0.1468967619505322,0.67428831185202
0,34,-1.026048056487383,1.0713463915586876,-0.6948269283390869,0.39512258503180164,-0.30110302517859533,-0.1530590358208521
0,35,-1.276802131439791,0.8319565209588653,-0.6587735420882554,0.7775333326709097,-0.30637607453070975,-0.05361949311611383
0,36,-1.3714261961106988,1.123871893582564,-0.6579919150760993,0.7649396292053328,-0.6001900825155523,0.46668322710803684
0,37,-1.2482827574556745,1.03485609127244,-0.5360381856888905,0.12489054851485748,-0.8637601764479768,0.576257580521845
0,38,-1.025725992532214,0.26604680566328476,-1.3679384930969165,0.6500872364567063,0.5188333365378948,0.17553319615355206
0,39,-1.1227079754577751,0.7312143250364262,-0.9304678672255682,0.7215334834180818,-0.2338756895006874,0.2107865205734155
0,40,-1.0495261895950185,0.45627683867646995,-0.960456663695068,-0.24099257615408853,-0.1150023917981538,1.2563949771090863
