chain,draw,interception,Treatment,HR,HR_interaction
0,0,-0.8550412933483456,1.5056234224373544,-1.3808292753051128,-0.22607236152083954
0,1,-1.1796700253839534,0.31590972612703916,-0.6106942837853158,0.4306788472836966
0,2,-0.9663080199474905,0.44487353985981337,-0.7879295658929655,0.4844033099487971
0,3,-0.8953140764247782,1.148017687886167,-1.0935867572382563,-0.09497622186968507
0,4,-1.3083939335443477,1.1740073814581662,-0.19560007921496103,-0.45357846709829125
0,5,-1.3142755041410945,1.7277458826827008,-0.9437375378432735,0.03517147884086988
0,6,-1.3535156371618435,1.7024090274152945,-1.1203693615696844,-0.2680019580261259
0,7,-1.1550641341768713,0.8013651550537215,-0.8708732363479674,-0.17025808953635346
0,8,-1.0950144030166096,1.1913701317345835,-0.5196231726467824,0.02687057332368696
0,9,-1.1040031817664313,0.9107669384705908,-0.7767173866911077,-0.5423015345653277
0,10,-1.2384609402850346,0.7853499277109746,-0.2438788337406903,-0.18484949456830996
0,11,-1.3090742550321002,0.6299333882329192,-0.43774414298105935,-0.21479588822629
0,12,-1.0802384360732948,0.9692437677474006,-0.6638651814806726,-0.6711493320473941
0,13,-1.007954444484913,0.9645540984776326,-0.9139542176866764,-0.17217055080617724
0,14,-1.119474817095178,1.0534642095812785,-1.0127291472202584,-0.22790769025416469
0,15,-0.9460234537952634,1.0315336718192223,-0.894150080689152,-0.09374368491878189
0,16,-0.9090799830806153,1.0547431046411542,-1.2104075142517385,-0.44448795838216604
0,17,-1.4228619061525352,0.8907011068156616,-0.0743965655657588,0.3554795705039808
0,18,-1.338432453597505,0.6109350955245278,-0.188918860643557,-0.26222015993199993
0,19,-1.117146585961697,0.429127490069261,-0.5284063229646188,-0.2982866756239315
0,20,-0.8440686413950773,1.2100938136172967,-1.2266052761782278,0.22262638664126044
0,21,-1.0046938301300834,0.7229599994418971,-1.2916952554328256,0.11640498908764799
0,22,-1.2242566671980468,1.0315765496558034,-0.28501363452804584,-0.8384932950238673
0,23,-1.0547880999758381,1.0391638313188276,-0.9385071702527783,-0.2738203407904667
0,24,-1.2105490949733335,0.8927918158028783,-0.6324633300826665,-0.19102149853163686
0,25,-1.2888878684185427,1.206543112415046,-0.8622199602525091,0.5499028708087458
0,26,-1.641793041831361,1.0226588697243135,-0.8520469877138521,0.3031997376958718
0,27,-1.5308043226726762,1.6480138674951463,-0.4112601791196744,-0.06718429284548783
0,28,-1.2805088462687801,1.2162251195671894,-0.6651239310507941,-0.6480166655884074
0,29,-1.0118038937649951,0.7969528077967889,-1.1538935784543418,0.6313968806365344
0,30,-1.0471557268209737,1.1618259039247154,-0.35040790299470514,-0.8683940045105397
0,31,-1.2194097165696238,1.1807430896486013,-0.4122205218823558,-1.0311347568562412
0,32,-1.2394232279238477,1.3110861306219965,-0.6376216402974579,-0.38829647629804737
0,33,-1.2071531785661074,1.3300537664609922,-0.5098495652962272,-0.6402386899639204
0,34,-1.0069907840135774,0.8221734899473887,-0.9784915351896926,0.37392920502312055
0,35,-0.8697546970010706,0.8699286523066372,-0.925657190698522,0.5028786282066271
0,36,-0.9678672385618972,1.0338075937791371,-1.7962076791901824,0.5791353100352525
0,37,-0.7332635774341552,0.8716724647854444,-1.3380259091464473,0.20818665510588896
0,38,-0.8904613299677826,0.8056945021665138,-0.9598609214119325,0.07986445350962584
0,39,-0.8982695251716946,0.8529542396875733,-0.9633195935623216,0.02664249444218683
0,40,-1.3498129609415945,1.229268750085954,-0.5041351034828483,-0.4824081236201022
0,41,-1.2775312947867778,1.275744194732111,-0.37773429170234474,-0.7608645010209129
0,42,-1.2670769172991263,1.2737195871568494,-0.46855557903143996,-0.6969592950017036
0,43,-1.163735855623048,1.117368037234714,-0.6269858515777236,-0.22504885753155468
0,44,-1.2124394936449958,1.3671864051900082,-0.4573401044858203,-0.7427600784470647
0,45,-1.3611743368774003,1.0853933904263722,-0.13728724748914534,-0.8945484051971719
0,46,-1.2257625866438904,1.0483310277827071,-0.40605301099508906,-0.700349636706072
0,47,-1.0448414887120736,1.1066985713073516,-0.32299285792709087,-0.9900314653179623
0,48,-1.3188478104599286,1.3411776759427951,-0.7687111106266671,0.26719552783291517
0,49,-0.9761790402957882,1.0372150210188242,-0.780779400600458,-1.272921506090709
0,50,-1.0489122753310012,1.0355937877257166,-0.48121943694401614,-0.10062427487093772
0,51,-1.1089196608561538,1.3201252869774383,-0.6641004381514648,-0.2601598377130452
0,52,-1.4786883682323895,1.1335540783555982,-0.6646495070879292,0.005042230451646437
0,53,-0.9573696548931259,1.2354559790996047,-0.32243097382814456,-0.9900660980414004
0,54,-1.4350896673437181,1.380006944812791,-0.40463813622641087,-1.3139820089589114
0,55,-1.3360453453822994,1.6136328932237376,-0.6686317963180906,-0.9179698910731716
0,56,-1.209139833856707,1.731222493944944,-0.5527080317646811,-0.7686170552773497
0,57,-1.1301970966669126,1.0830886479723785,-1.28128837496623,0.005106773420271269
0,58,-1.3516717611992144,1.0656048977949202,-0.4420326643729646,-0.3216649491243383
0,59,-1.2410590848280547,1.2119397638403444,-0.6689355960395065,0.06042223362140864
0,60,-1.08103422022841,1.1352905687129944,-0.8317416283607839,-0.3985745863717182
0,61,-1.1504665521782926,1.1561415697972777,-0.6369748252954208,-0.35080572865435095
0,62,-1.3963828995380743,1.5933943299203948,-0.4835546315834618,-0.9900868545281748
0,63,-1.5076310612438575,1.185129927892261,-0.43720802680278625,0.11354426628076308
0,64,-0.7397471339165622,0.7746116962801943,-1.0506456961039647,-0.310285224537463
0,65,-1.23342910161051,1.00264352983022,-0.36358060608801024,-0.6837518029596057
0,66,-1.1010565903977683,1.087065785859702,-0.8250089323051935,-0.4273573666796605
0,67,-1.1821876655499173,1.0674366249867597,-0.6527958290975584,-0.20826682044657652
0,68,-0.9978851770691617,0.7703312353292664,-0.6082592895941867,-0.47560285641289307
0,69,-1.1435770715721598,1.3046821857861859,-0.46867956818910583,-0.6590610500762697
0,70,-0.8926620961030087,0.6961206798746231,-1.55336965122891,0.09296832850264194
0,71,-0.7884488551147801,0.8081724216559996,-1.0386294712927322,0.47056451481264894
0,72,-0.9787397684496193,1.1137484218713458,-0.7777452199468944,0.06764665978549467
0,73,-1.1479482525278812,1.068283120594604,-1.0170199971672054,-0.046803899224427264
0,74,-1.2384397052263099,1.0996718407894512,-0.24454401792535752,-0.5116770237231629
0,75,-1.2424623688574086,0.9712120181555544,-0.19213724632758744,-0.5037298407147254
0,76,-0.7496516230620485,0.7114549823058594,-1.7159716784872439,0.1830445661654413
0,77,-0.7403428169326245,0.8095675002467149,-1.5304314999707094,0.4241855533140164
0,78,-0.6896126799334961,0.8753835263327847,-1.420649573283903,0.5013466272503606
0,79,-0.6528873651790226,0.7304823264340894,-1.8301666055955441,0.07639328410078305
0,80,-0.8767606615888961,0.8768377532423364,-1.6061954948344277,0.4478203731548065
0,81,-0.9663047233837396,1.4451621868990432,-1.8598158143795838,0.7460680116643936
0,82,-0.8288398720617904,0.7362177883984167,-1.556215065322383,-0.20489237725608095
0,83,-1.2692137237487187,0.7861510706913855,-0.939864039726825,0.06300026000881298
0,84,-1.1877884000864212,0.9975854391601737,-0.8423655399841934,-0.026557956421293133
0,85,-1.2665554137837187,1.20430804748189,-0.5271704498837426,-0.7659233961252576
0,86,-1.1106158171096365,0.8786637864703462,-0.9574507030961668,0.05521990673762953
0,87,-1.1577680794965457,1.0890338293355197,-0.33383659848321967,-0.5301466058156142
0,88,-1.2809764856785646,1.2412361923223771,-0.9319471757725575,-0.9883241144348458
0,89,-1.1812397898203584,1.462933805280242,-0.8002150370507888,-0.7457296113532711
